#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","91","2203374284800","4759552","897024","5432","C:\Windows\System32\AggregatorHost.exe",,"0.015625",,,,,"Process","8",,"False",,"2748","Microsoft.Win32.SafeHandles.SafeProcessHandle","91","2996",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5432","5432","897024","897024","49416","49416","1019904","1019904","4775936","4775936","58159104","2203376381952","True","Normal","897024","897024","00:00:00","AggregatorHost","3","True","0","System.Diagnostics.ProcessStartInfo","8/28/2022 9:31:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00.0156250","56061952","2203374284800","False",,,,"4759552","4759552",,
"Code","1","443","2244824264704","310964224","218263552","37672","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","83.09375","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"808","Microsoft.Win32.SafeHandles.SafeProcessHandle","443","1424",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37672","37672","218263552","218263552","750816","750816","390971392","390971392","478679040","478679040","-1395064832","2249167798272","True","Normal","218263552","218263552","00:00:12.2031250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:23.0937500","00:01:10.8906250","-1443631104","2244824264704","False",,,,"310964224","310964224",,
"Code","1","274","2220873957376","42307584","12537856","16848","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","0.46875","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4368","Microsoft.Win32.SafeHandles.SafeProcessHandle","274","1720",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16848","16848","12537856","12537856","482584","482584","12808192","12808192","42512384","42512384","409419776","2220907511808","True","Normal","12537856","12537856","00:00:00.2031250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4687500","00:00:00.2656250","375865344","2220873957376","False",,,,"42307584","42307584",,
"Code","1","222","2220815167488","26763264","10448896","12280","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","0.015625","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2760","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","2612",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12280","12280","10448896","10448896","449992","449992","10530816","10530816","26927104","26927104","333852672","2220831944704","True","Normal","10448896","10448896","00:00:00.0156250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","317075456","2220815167488","False",,,,"26763264","26763264",,
"Code","1","185","2225315655680","77680640","23048192","13912","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","0.140625","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4328","Microsoft.Win32.SafeHandles.SafeProcessHandle","185","3048",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13912","13912","23048192","23048192","476864","476864","25591808","25591808","77840384","77840384","619565056","2225412624384","True","Normal","23048192","23048192","00:00:00.0156250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.1250000","522596352","2225315655680","False",,,,"77680640","77680640",,
"Code","1","274","2225317109760","117170176","63078400","16392","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","1.578125","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4416","Microsoft.Win32.SafeHandles.SafeProcessHandle","274","3888",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16392","16392","63078400","63078400","490952","490952","81080320","81080320","129630208","129630208","619565056","2225412624384","True","Normal","63078400","63078400","00:00:00.2656250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5781250","00:00:01.3125000","524050432","2225317109760","False",,,,"117170176","117170176",,
"Code","1","236","2225335943168","88915968","47988736","16152","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","2.390625","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4316","Microsoft.Win32.SafeHandles.SafeProcessHandle","236","4328",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16152","16152","47988736","47988736","493720","493720","57098240","57098240","91586560","91586560","619565056","2225412624384","True","Normal","47988736","47988736","00:00:00.5156250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.3906250","00:00:01.8750000","542883840","2225335943168","False",,,,"88915968","88915968",,
"Code","1","986","2225656119296","105095168","41943040","46472","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","15.9375","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4420","Microsoft.Win32.SafeHandles.SafeProcessHandle","986","4428",".","524774","Wk2-IntroSlides.ps1 - Visual Studio Code [Administrator]","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","46472","46472","41943040","41943040","864360","864360","59318272","59318272","114114560","114114560","997023744","2225790083072","True","Normal","41943040","41943040","00:00:08.8281250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:15.9375000","00:00:07.1093750","863059968","2225656119296","False",,,,"105095168","105095168",,
"Code","1","189","2225261629440","80191488","20602880","12552","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","0.140625","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2784","Microsoft.Win32.SafeHandles.SafeProcessHandle","189","4788",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12552","12552","20602880","20602880","473904","473904","24031232","24031232","82198528","82198528","619565056","2225412624384","True","Normal","20602880","20602880","00:00:00.0468750","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:35:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0937500","468570112","2225261629440","False",,,,"80191488","80191488",,
"Code","1","333","2221094252544","142184448","144244736","36552","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation","88.71875","1.70.0","1.70.0","Visual Studio Code","Visual Studio Code","Process","10",,"False",,"4244","Microsoft.Win32.SafeHandles.SafeProcessHandle","333","4904",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36552","36552","144244736","144244736","672960","672960","149786624","149786624","177856512","177856512","637980672","2221136072704","True","AboveNormal","144244736","144244736","00:00:15.6406250","Code","3","True","1","System.Diagnostics.ProcessStartInfo","8/28/2022 11:31:16 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:28.7187500","00:01:13.0781250","596160512","2221094252544","False",,,,"142184448","142184448",,
